code,system
C109200,readv2
C108C00,readv2
C109H00,readv2
C108J00,readv2
C10EC12,readv2
C108B00,readv2
C10E212,readv2
C109B00,readv2
C108200,readv2
C109A00,readv2
E11.4,readv2
E10.4,readv2
C108B11,readv2
C108J12,readv2
C10FA00,readv2
F3y0.00,readv2
F171100,readv2
C109A11,readv2
C10FH00,readv2
C10EC11,readv2
C109B12,readv2
C10FB11,readv2
C10FB00,readv2
C109B11,readv2
F372.11,readv2
C109H11,readv2
C106.12,readv2
F372.12,readv2
C10EJ00,readv2
C109H12,readv2
F372200,readv2
C10FA11,readv2
C108J11,readv2
C10EC00,readv2
C10EB00,readv2
C10FH11,readv2
M271100,readv2
F372.00,readv2
C106.13,readv2
G59.0,readv2
G63.2,readv2
C108212,readv2
C109212,readv2
C10F200,readv2
C108211,readv2
C10E200,readv2
C109211,readv2
C10F211,readv2
E12.4,readv2
C106y00,readv2
E13.4,readv2
E14.4,readv2
C106000,readv2
C106z00,readv2
C106100,readv2
C106.00,readv2
F381311,readv2
C106.11,readv2
F381300,readv2
F345000,readv2
F35z000,readv2
F372100,readv2
F372000,readv2
17247.0,readv2
45467.0,readv2
49146.0,readv2
109197.0,readv2
40962.0,readv2
67853.0,readv2
47409.0,readv2
72320.0,readv2
18230.0,readv2
95351.0,readv2
109865.0,readv2
50813.0,readv2
34268.0,readv2
62674.0,readv2
66965.0,readv2
35385.0,readv2
54008.0,readv2
99231.0,readv2
39809.0,readv2
59903.0,readv2
101735.0,readv2
46301.0,readv2
45919.0,readv2
39317.0,readv2
24694.0,readv2
18425.0,readv2
37315.0,readv2
61829.0,readv2
35785.0,readv2
2340.0,readv2
17067.0,readv2
7795.0,readv2
5002.0,readv2
48078.0,readv2
50527.0,readv2
101311.0,readv2
68105.0,readv2
42831.0,readv2
47816.0,readv2
16491.0,readv2
67905.0,readv2
55842.0,readv2
61523.0,readv2
16230.0,readv2
2342.0,readv2
44033.0,readv2
60208.0,readv2
22573.0,readv2
52283.0,readv2
91943.0,readv2
98616.0,readv2
41716.0,readv2
31790.0,readv2
24571.0,readv2
11663.0,readv2
39420.0,readv2